Material_Hierarchy_Model_Node_Name,Material_Hierarchy_Parent_Hierarchy_Identifier,Material_Number,Iso_Country_Code,Category_ID,Category_Name,Source_Create_Timestamp,Logical_Deletion_Indicator,Production_Rounded_KgCO2,Transport_Rounded_KgCO2,Energy_Use_Rounded_KgCO2,Eol_Rounded_KgCO2,Cartridges_Rounded_KgCO2,Consumables_Rounded_KgCO2,Paper_Rounded_KgCO2,Total_Rounded_KgCO2,Total_Lower_Bounds_KgCO2,Total_Upper_Bounds_KgCO2,Source_System_Update_Timestamp,Insert_Gmt_Timestamp
HP 15.6 inch Laptop PC 15-fd0000 (B1PV7AV),2102764695,B89MWUA,HU,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,4,15,0.5,0,0,0,150,120,210,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 15.6 inch Laptop PC 15-fd1000 (B3YY9AV),2102811433,B89MXUA,SE,3329744,HP Home Laptop PCs,01/01/2023 00:00:00,False,133,4,1,0.5,0,0,0,140,100,200,01/01/2023 00:00:00,01/01/2023 00:00:00
HP OmniBook 5 16 inch Laptop AI PC 16-af1000 (B0VM5AV),2102790255,B89MYUA,MY,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,134,0.600000024,50,0.600000024,0,0,0,180,140,240,01/01/2025 00:00:00,01/01/2025 00:00:00
HP OmniBook 5 16 inch Laptop Next Gen AI PC 16-ag1000 (AQ6Z6AV),2102788718,B89MZUA,IL,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,134,4,34,0.600000024,0,0,0,170,130,230,01/01/2025 00:00:00,01/01/2025 00:00:00
HP OmniBook 5 16 inch Laptop Next Gen AI PC 16-ag1000 (AQ6Z6AV),2102788718,B89MZUAR,IN,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,134,0.600000024,61,0.600000024,0,0,0,200,160,260,01/01/2025 00:00:00,01/01/2025 00:00:00
HP 17.3 inch Laptop PC 17-c3000 (B00JKAV),2102738015,B89N0UAR,BG,3329744,HP Home Laptop PCs,01/01/2021 00:00:00,False,132,5,27,0.5,0,0,0,160,120,210,01/01/2021 00:00:00,01/01/2021 00:00:00
HP 14 inch Laptop PC 14-em0000 (AX6C5AV),2102737688,B89N1UA,LT,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,131,4,5,0.600000024,0,0,0,140,110,190,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 14 inch Laptop PC 14-em0000 (AX6C5AV),2102737688,B89N1UAR,TH,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,131,0.5,22,0.600000024,0,0,0,160,120,210,01/01/2025 00:00:00,01/01/2025 00:00:00
HP 15.6 inch Laptop PC 15-fc0000 (733M2AV),2101497692,B89QHEA,AU,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,0.600000024,51,0.5,0,0,0,190,150,240,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 15.6 inch Laptop PC 15-fd0000 (952D1AV),2102036724,B89QMEA,CN,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,0.600000024,54,0.5,0,0,0,190,150,240,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 15.6 inch Laptop PC 15-fd0000 (952D0AV),2102036723,B89QQEA,CN,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,133,0.600000024,54,0.5,0,0,0,190,150,240,01/01/2025 00:00:00,01/01/2025 00:00:00
HP Envy x360 14 inch 2-in-1 Laptop PC 16-ad0000 (8Z967AV),2102007683,B89THEA,SA,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,134,6,37,0.699999988,0,0,0,180,140,240,01/01/2024 00:00:00,01/01/2024 00:00:00
HP Pavilion 16 inch Laptop PC 16-ag0000 (955U1AV),2102057114,B89TKEA,PY,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,134,14,15,0.600000024,0,0,0,160,120,220,01/01/2024 00:00:00,01/01/2024 00:00:00
HP EliteBook 640 14 inch G11 Notebook PC (901D5AV),2102139884,B89TSEC,AU,64295,Business Laptop PCs,01/01/2025 00:00:00,False,117,2,30,2,0,0,0,150,90,250,01/01/2025 00:00:00,01/01/2025 00:00:00
HP 15.6 inch Laptop PC 15-fd0000 (B1PW0AV),2102764698,B89TVEA,PL,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,4,53,0.5,0,0,0,190,150,250,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 15.6 inch Laptop PC 15-fd1000 (917T9AV),2101987728,B89TWEA,FR,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,133,4,6,0.5,0,0,0,140,110,200,01/01/2025 00:00:00,01/01/2025 00:00:00
HP All-in-One Desktop PC 24-cr0000i (B4KW5AV),2102843069,B89TXEA,LV,4167862,HP Home Desktop PCs,01/01/2024 00:00:00,False,179,3,31,2,0,0,0,210,160,270,01/01/2024 00:00:00,01/01/2024 00:00:00
HP All-in-One Desktop PC 24-cr0000i (B4KW5AV),2102843069,B89TZEA,AR,4167862,HP Home Desktop PCs,01/01/2023 00:00:00,False,179,3,30,2,0,0,0,210,160,270,01/01/2023 00:00:00,01/01/2023 00:00:00
HP All-in-One Desktop PC 24-cr0000i (B4KW5AV),2102843069,B89U0EA,AO,4167862,HP Home Desktop PCs,01/01/2025 00:00:00,False,179,3,24,2,0,0,0,210,160,270,01/01/2025 00:00:00,01/01/2025 00:00:00
HP All-in-One Desktop PC 27-cr0000i (B4KX2AV),2102871364,B89U2EA,AT,4167862,HP Home Desktop PCs,01/01/2025 00:00:00,False,179,3,13,2,0,0,0,200,150,260,01/01/2025 00:00:00,01/01/2025 00:00:00
HP All-in-One Desktop PC 27-cr0000i (B4KX2AV),2102871364,B89U3EA,IT,4167862,HP Home Desktop PCs,01/01/2025 00:00:00,False,179,3,34,2,0,0,0,220,170,280,01/01/2025 00:00:00,01/01/2025 00:00:00
HP All-in-One Desktop PC 27-cr0000i (B4KX2AV),2102871364,B89U4EA,AE,4167862,HP Home Desktop PCs,01/01/2025 00:00:00,False,179,3,47,2,0,0,0,230,180,290,01/01/2025 00:00:00,01/01/2025 00:00:00
OMEN 16L Gaming Desktop PC TG03-0000a (A8JE0AV),2102685714,B89V0EA,IL,4167862,HP Home Desktop PCs,01/01/2025 00:00:00,False,209,3,133,0.400000006,0,0,0,340,290,430,01/01/2025 00:00:00,01/01/2025 00:00:00
